"Date","Followers","Follower_Change","Num_Tweets"
2016-08-22,11062600,17952,7
2016-08-21,11044648,19174,8
2016-08-20,11025474,19580,10
2016-08-19,11005894,22257,4
2016-08-18,10983637,19125,8
2016-08-17,10964512,22202,6
2016-08-16,10942310,23564,3
2016-08-15,10918746,24343,10
2016-08-14,10894403,22188,7
2016-08-13,10872215,24925,8
2016-08-12,10847290,27095,5
2016-08-11,10820195,27383,11
2016-08-10,10792812,28714,13
2016-08-09,10764098,26902,13
2016-08-08,10737196,26751,5
2016-08-07,10710445,24417,8
2016-08-06,10686028,27228,10
2016-08-05,10658800,28323,8
2016-08-04,10630477,34072,7
2016-08-03,10596405,38513,11
2016-08-02,10557892,39958,25
2016-08-01,10517934,36209,5
2016-07-31,10481725,34490,22
2016-07-30,10447235,54279,26
2016-07-29,10392956,64211,19
2016-07-28,10328745,69907,19
2016-07-27,10258838,60405,17
2016-07-26,10198433,78957,22
2016-07-25,10119476,38085,17
2016-07-24,10081391,35168,14
2016-07-23,10046223,44770,6
2016-07-22,10001453,59505,9
2016-07-21,9941948,49167,19
2016-07-20,9892781,49337,5
2016-07-19,9843444,21350,8
2016-07-18,9822094,26947,12
2016-07-17,9795147,21876,11
2016-07-16,9773271,39133,4
2016-07-15,9734138,29600,6
2016-07-14,9704538,19842,14
2016-07-13,9684696,21835,14
2016-07-12,9662861,16487,6
2016-07-11,9646374,16172,4
2016-07-10,9630202,17119,2
2016-07-09,9613083,27960,5
2016-07-08,9585123,24580,6
2016-07-07,9560543,7112,1
2016-07-06,9553431,114836,54
2016-07-02,9438595,16790,11
2016-07-01,9421805,6073,2
2016-06-30,9415732,32116,18
2016-06-29,9383616,26583,13
2016-06-28,9357033,20697,2
2016-06-27,9336336,19607,15
2016-06-26,9316729,22938,8
2016-06-25,9293791,32626,13
2016-06-24,9261165,19467,15
2016-06-23,9241698,21434,6
2016-06-22,9220264,24924,12
2016-06-21,9195340,18187,0
2016-06-20,9177153,18809,2
2016-06-19,9158344,18113,9
2016-06-18,9140231,19699,11
2016-06-17,9120532,21851,7
2016-06-16,9098681,27853,6
2016-06-15,9070828,0,0
2016-06-15,9070828,37903,6
2016-06-14,9032925,50054,13
2016-06-13,8982871,93082,8
2016-06-12,8889789,26057,10
2016-06-11,8863732,51918,13
2016-06-10,8811814,66604,8
2016-06-09,8745210,17030,19
2016-06-08,8728180,19708,8
2016-06-07,8708472,17633,11
2016-06-06,8690839,19029,3
2016-06-05,8671810,22553,8
2016-06-04,8649257,24485,15
2016-06-03,8624772,27572,22
2016-06-02,8597200,24700,5
2016-06-01,8572500,24050,8
2016-05-31,8548450,24625,14
2016-05-30,8523825,24842,6
2016-05-29,8498983,25858,8
2016-05-28,8473125,29281,6
2016-05-27,8443844,24396,8
2016-05-26,8419448,19225,16
2016-05-25,8400223,18751,9
2016-05-24,8381472,18453,8
2016-05-23,8363019,19334,9
2016-05-22,8343685,18943,9
2016-05-21,8324742,18819,17
2016-05-20,8305923,23131,3
2016-05-19,8282792,21123,7
2016-05-18,8261669,24775,47
2016-05-17,8236894,17371,16
2016-05-16,8219523,16257,14
2016-05-15,8203266,17603,3
2016-05-14,8185663,17713,3
2016-05-13,8167950,48691,3
2016-05-12,8119259,33777,14
2016-05-11,8085482,23237,17
